Object ID,MJD(Days),RA,Dec,V(km/sec),Z_redshift
NGC 4819,9599.198611,12h56m28.4s,"26ø59'17""",6.35E+03,2.12E-02
NGC 4827,9599.199421,12h56m43.4s,"27ø10'47""",7.57E+03,2.53E-02
12546+3059,9599.200185,12h57m00.1s,"30ø42'47""",7.16E+03,2.39E-02
NGC 4839,9599.203218,12h57m24.2s,"27ø29'54""",7.16E+03,2.39E-02
NGC 4842,9599.206181,12h57m25.2s,"27ø32'48""",7.43E+03,2.48E-02
NGC 4841A,9599.207593,12h57m32.2s,"28ø28'38""",6.76E+03,2.25E-02
NGC 4841B,9599.209306,12h57m34.4s,"28ø28'56""",6.22E+03,2.07E-02
NGC 4848,9599.210926,12h58m05.7s,"28ø14'41""",7.16E+03,2.39E-02
A1256+2750,9599.21294,12h58m29.5s,"27ø33'55""",7.43E+03,2.48E-02
NGC 4853,9599.213981,12h58m35.4s,"27ø35'52""",7.57E+03,2.53E-02
NGC 4860,9599.215231,12h59m04.1s,"28ø07'21""",7.70E+03,2.57E-02
NGC 4865,9599.219005,12h59m19.8s,"28ø05'04""",4.60E+03,1.53E-02
NGC 4872,9599.220625,12h59m34.0s,"27ø56'46""",7.03E+03,2.34E-02
NGC 4874,9599.221782,12h59m35.2s,"27ø57'35""",7.16E+03,2.39E-02
NGC 4892,9599.234792,13h00m03.6s,"26ø53'51""",5.81E+03,1.94E-02
NGC 4889,9599.236991,13h00m08.3s,"27ø58'39""",6.62E+03,2.21E-02
NGC 4895,9599.239421,13h00m18.0s,"28ø12'06""",8.38E+03,2.80E-02
IC 842,9599.24169,13h00m39.2s,"29ø01'09""",7.16E+03,2.39E-02
NGC 4907,9599.243171,13h00m48.0s,"28ø09'24""",5.68E+03,1.89E-02
NGC 4911,9599.244722,13h00m56.3s,"27ø47'34""",7.97E+03,2.66E-02
NGC 5065,9601.17794,13h17m31.1s,"31ø05'38""",5.53E+03,1.84E-02
NGC 5074,9601.189259,13h18m24.9s,"31ø28'15""",5.54E+03,1.85E-02
NGC 5081,9601.192176,13h19m08.0s,"28ø30'18""",6.53E+03,2.18E-02
NGC 5089,9601.195579,13h19m39.7s,"30ø15'26""",2.06E+03,6.89E-03
13180+3147,9601.198333,13h20m21.0s,"31ø30'53""",5.07E+03,1.69E-02
13193+3137,9601.201782,13h21m39.4s,"31ø20'45""",5.02E+03,1.67E-02
13194+3130,9601.204491,13h21m45.1s,"31ø14'06""",7.19E+03,2.40E-02
NGC 5116,9601.205185,13h22m55.7s,"26ø58'51""",2.54E+03,8.48E-03
NGC 5117,9601.206204,13h22m56.4s,"28ø19'04""",2.36E+03,7.86E-03
IC 4234,9601.207014,13h23m03.7s,"27ø07'21""",1.03E+04,3.44E-02
NGC 5127,9601.20787,13h23m45.2s,"31ø33'53""",4.81E+03,1.60E-02
NGC 5131,9601.208796,13h23m57.0s,"30ø59'13""",6.60E+03,2.20E-02
NGC 5187,9601.20963,13h29m48.2s,"31ø07'49""",7.13E+03,2.38E-02
13280+3135,9601.210463,13h30m16.6s,"31ø19'59""",4.77E+03,1.59E-02
13281+3153,9601.211528,13h30m26.0s,"31ø37'11""",7.26E+03,2.42E-02
NGC 5251,9601.455139,13h37m24.8s,"27ø25'09""",1.11E+04,3.70E-02
13374+2802,9601.456181,13h39m44.1s,"27ø46'35""",8.48E+03,2.83E-02
NGC 5263,9601.457083,13h39m55.6s,"28ø23'57""",4.81E+03,1.60E-02
NGC 5280,9601.458009,13h42m53.2s,"29ø51'55""",1.09E+04,3.63E-02
13409+3036,9601.459028,13h43m09.0s,"30ø20'11""",1.04E+04,3.46E-02
NGC 5282,9607.396065,13h43m24.9s,"30ø04'09""",1.19E+04,3.97E-02
13450+3035,9607.40338,13h47m16.2s,"30ø20'03""",4.60E+03,1.53E-02
13482+2824,9607.410278,13h50m35.7s,"28ø08'57""",7.05E+03,2.35E-02
NGC 5375 F6,9607.414398,13h56m56.2s,"29ø09'49""",2.30E+03,7.66E-03
13549+2902,9607.419398,13h57m21.1s,"28ø47'30""",1.12E+04,3.74E-02
IC 4355 F6,9607.423588,13h58m04.0s,"28ø25'25""",7.96E+03,2.66E-02
13573+2819,9607.427523,13h59m39.3s,"28ø03'42""",1.09E+04,3.63E-02
13585+3019,9607.431065,14h00m44.3s,"30ø04'31""",8.11E+03,2.71E-02
13587+2948,9607.434329,14h00m56.7s,"29ø33'32""",8.17E+03,2.73E-02
13588+2946,9607.439606,14h01m02.7s,"29ø31'32""",7.91E+03,2.64E-02
14007+2816,9607.442361,14h03m03.7s,"28ø01'53""",4.55E+03,1.52E-02
14023+2809,9607.445764,14h04m33.5s,"27ø54'40""",4.60E+03,1.53E-02
14057+3007,9607.448958,14h07m54.8s,"29ø52'27""",8.23E+03,2.75E-02
IC 4384 F6,9607.451528,14h11m50.9s,"27ø06'56""",1.04E+04,3.47E-02
NGC 5512 F6,9607.454398,14h12m35.9s,"30ø50'58""",4.32E+03,1.44E-02
14110+2715,9607.457222,14h13m16.1s,"27ø00'30""",5.25E+03,1.75E-02
14115+2940,9607.460764,14h13m42.9s,"29ø26'07""",9.19E+03,3.07E-02
IC 4395 F6,9607.463194,14h17m20.8s,"26ø51'25""",1.09E+04,3.63E-02
IC 4403 F6,9607.465764,14h18m16.3s,"31ø39'12""",4.24E+03,1.41E-02
14183+2705,9607.46831,14h20m32.3s,"26ø51'18""",1.09E+04,3.63E-02
14314+2816,9609.603241,14h33m41.4s,"28ø03'14""",9.32E+03,3.11E-02
14319+2810,9609.604144,14h34m05.7s,"27ø56'53""",9.46E+03,3.16E-02
14322+3146,9609.604907,14h34m20.2s,"31ø32'54""",8.65E+03,2.89E-02
IC 4460,9609.60662,14h34m33.4s,"30ø16'54""",8.92E+03,2.98E-02
NGC 5685,9609.607222,14h36m15.5s,"29ø54'29""",1.03E+04,3.43E-02
NGC 5709,9609.60794,14h38m50.4s,"30ø26'36""",3.65E+03,1.22E-02
14368+3110,9609.608519,14h38m56.1s,"30ø57'06""",1.04E+04,3.47E-02
14379+3143,9609.609769,14h40m05.6s,"31ø30'06""",6.62E+03,2.21E-02
14384+3135,9609.610324,14h40m31.5s,"31ø22'11""",6.76E+03,2.25E-02
14393+3151,9609.611019,14h41m25.1s,"31ø38'13""",9.59E+03,3.20E-02
NGC 5735,9609.611551,14h42m33.4s,"28ø43'31""",3.65E+03,1.22E-02
14432+3038,9609.612176,14h45m25.8s,"30ø25'19""",8.78E+03,2.93E-02
14471+2759,9609.612986,14h49m27.8s,"27ø46'48""",9.19E+03,3.07E-02
IC 4514,9609.61375,14h50m52.1s,"27ø33'40""",9.05E+03,3.02E-02
NGC 5771,9609.61463,14h52m07.6s,"29ø50'44""",6.76E+03,2.25E-02
NGC 5773,9609.617269,14h52m30.8s,"29ø48'25""",6.89E+03,2.30E-02
14520+3025E,9609.618565,14h54m06.9s,"30ø12'50""",2.84E+03,9.47E-03
NGC 5780,9609.619259,14h54m20.3s,"28ø56'51""",7.03E+03,2.34E-02
NGC 4921,9603.406505,13h01m26.0s,"27ø53'12""",5.39E+03,1.80E-02
NGC 4923,9603.439907,13h01m31.4s,"27ø50'51""",5.49E+03,1.83E-02
NGC 4926,9603.445162,13h01m53.9s,"27ø37'28""",7.68E+03,2.56E-02
NGC 4929,9603.449769,13h02m44.5s,"28ø02'43""",6.19E+03,2.07E-02
NGC 4931,9603.454097,13h03m01.0s,"28ø02'01""",5.76E+03,1.92E-02
NGC 4944,9603.456991,13h03m49.9s,"28ø11'09""",7.07E+03,2.36E-02
NGC 4952,9603.458889,13h04m58.8s,"29ø07'24""",5.86E+03,1.95E-02
NGC 4957,9603.460833,13h05m12.4s,"27ø34'12""",6.80E+03,2.27E-02
NGC 4961,9603.463218,13h05m47.7s,"27ø44'07""",2.43E+03,8.11E-03
NGC 4966,9603.465162,13h06m17.2s,"29ø03'46""",7.03E+03,2.34E-02
NGC 4983,9603.466806,13h08m26.5s,"28ø19'13""",6.53E+03,2.18E-02
13065+2827,9603.468241,13h08m54.5s,"28ø10'59""",5.95E+03,1.98E-02
NGC 5000,9603.469884,13h09m47.5s,"28ø54'30""",5.54E+03,1.85E-02
NGC 5004,9603.471343,13h11m01.4s,"29ø38'12""",6.93E+03,2.31E-02
13093+3146,9603.472639,13h11m39.2s,"31ø30'05""",6.94E+03,2.31E-02
NGC 5032,9603.47412,13h13m26.8s,"27ø48'08""",6.31E+03,2.10E-02
NGC 5041,9603.475926,13h14m33.1s,"30ø42'19""",7.52E+03,2.51E-02
NGC 5056,9603.477569,13h16m12.2s,"30ø56'59""",5.54E+03,1.85E-02
NGC 5052,9603.479097,13h15m33.4s,"29ø39'10""",6.71E+03,2.24E-02
NGC 5057,9603.480856,13h16m26.7s,"31ø01'11""",5.80E+03,1.93E-02
NGC 5282,9607.396065,13h43m24.9s,"30ø04'09""",1.19E+04,3.97E-02
13450+3035,9607.40338,13h47m16.2s,"30ø20'03""",4.60E+03,1.53E-02
13482+2824,9607.410278,13h50m35.7s,"28ø08'57""",7.05E+03,2.35E-02
NGC 5375 F6,9607.414398,13h56m56.2s,"29ø09'49""",2.30E+03,7.66E-03
13549+2902,9607.419398,13h57m21.1s,"28ø47'30""",1.12E+04,3.74E-02
IC 4355 F6,9607.423588,13h58m04.0s,"28ø25'25""",7.96E+03,2.66E-02
13573+2819,9607.427523,13h59m39.3s,"28ø03'42""",1.09E+04,3.63E-02
13585+3019,9607.431065,14h00m44.3s,"30ø04'31""",8.11E+03,2.71E-02
13587+2948,9607.434329,14h00m56.7s,"29ø33'32""",8.17E+03,2.73E-02
13588+2946,9607.439606,14h01m02.7s,"29ø31'32""",7.91E+03,2.64E-02
14007+2816,9607.442361,14h03m03.7s,"28ø01'53""",4.55E+03,1.52E-02
14023+2809,9607.445764,14h04m33.5s,"27ø54'40""",4.60E+03,1.53E-02
14057+3007,9607.448958,14h07m54.8s,"29ø52'27""",8.23E+03,2.75E-02
IC 4384 F6,9607.451528,14h11m50.9s,"27ø06'56""",1.04E+04,3.47E-02
NGC 5512 F6,9607.454398,14h12m35.9s,"30ø50'58""",4.32E+03,1.44E-02
14110+2715,9607.457222,14h13m16.1s,"27ø00'30""",5.25E+03,1.75E-02
14115+2940,9607.460764,14h13m42.9s,"29ø26'07""",9.19E+03,3.07E-02
IC 4395 F6,9607.463194,14h17m20.8s,"26ø51'25""",1.09E+04,3.63E-02
IC 4403 F6,9607.465764,14h18m16.3s,"31ø39'12""",4.24E+03,1.41E-02
14183+2705,9607.46831,14h20m32.3s,"26ø51'18""",1.09E+04,3.63E-02
12021+3127,9607.521829,12h04m44.1s,"31ø10'34""",7.43E+03,2.48E-02
NGC 4080,9607.53081,12h04m51.4s,"26ø59'38""",5.41E+02,1.80E-03
NGC 4104,9610.110718,12h06m38.2s,"28ø10'31""",8.11E+03,2.71E-02
NGC 4131,9610.113102,12h08m47.9s,"29ø18'18""",3.65E+03,1.22E-02
NGC 4132,9610.114028,12h09m01.5s,"29ø15'05""",4.05E+03,1.35E-02
12066+3151,9610.115255,12h09m10.0s,"31ø34'09""",6.62E+03,2.21E-02
NGC 4134,9610.116806,12h09m10.2s,"29ø10'38""",3.78E+03,1.26E-02
NGC 4136,9610.117894,12h09m18.0s,"29ø55'36""",5.41E+02,1.80E-03
NGC 4150,9610.11919,12h10m33.4s,"30ø24'05""",1.35E+02,4.51E-04
NGC 4173,9610.120556,12h12m21.5s,"29ø12'24""",9.46E+02,3.16E-03
NGC 4174,9610.121528,12h12m26.9s,"29ø08'57""",3.92E+03,1.31E-02
NGC 4175,9610.1225,12h12m30.6s,"29ø10'09""",3.92E+03,1.31E-02
NGC 4185,9610.123495,12h13m21.9s,"28ø30'41""",3.78E+03,1.26E-02
NGC 4196,9610.124352,12h14m29.2s,"28ø25'29""",3.92E+03,1.31E-02
NGC 4211A,9610.125394,12h15m25.5s,"28ø10'20""",6.62E+03,2.21E-02
12142+2900,9610.126134,12h16m42.2s,"28ø43'47""",1.08E+03,3.61E-03
NGC 4245,9610.126806,12h17m36.9s,"29ø36'33""",6.76E+02,2.25E-03
NGC 4251,9610.127477,12h18m07.9s,"28ø10'32""",9.46E+02,3.16E-03
NGC 4253,9610.128565,12h18m26.4s,"29ø48'47""",3.78E+03,1.26E-02
IC 777,9610.129236,12h19m23.6s,"28ø18'32""",2.43E+03,8.11E-03
12293+3000,9607.521759,12h31m57.6s,"29ø42'33""",5.73E+02,1.91E-03
NGC 4514,9607.52662,12h32m43.3s,"29ø42'45""",8.10E+03,2.70E-02
NGC 4525,9607.527639,12h33m51.6s,"30ø16'42""",1.08E+03,3.61E-03
NGC 4556,9607.530972,12h35m45.6s,"26ø54'35""",7.40E+03,2.47E-02
NGC 4559,9607.531968,12h35m57.2s,"27ø57'52""",7.90E+02,2.63E-03
NGC 4585,9610.110949,12h38m12.7s,"28ø56'08""",7.36E+03,2.46E-02
IC 3651,9610.111782,12h40m52.7s,"26ø43'41""",4.74E+03,1.58E-02
12406+2800,9610.112778,12h43m05.4s,"27ø42'52""",7.43E+03,2.48E-02
12421+2845,9610.114074,12h44m38.4s,"28ø28'19""",8.11E+02,2.71E-03
NGC 4670,9610.117338,12h45m17.0s,"27ø07'34""",1.22E+03,4.06E-03
NGC 4673,9610.118079,12h45m34.7s,"27ø03'40""",6.89E+03,2.30E-02
12451+2716,9610.120139,12h47m42.1s,"26ø58'52""",7.16E+03,2.39E-02
NGC 4692,9610.12125,12h47m55.3s,"27ø13'23""",7.97E+03,2.66E-02
12504+2839,9610.12169,12h52m53.5s,"28ø22'16""",7.03E+03,2.34E-02
NGC 4789,9610.122639,12h54m19.0s,"27ø03'43""",8.24E+03,2.75E-02
NGC 4793,9610.123171,12h54m41.0s,"28ø56'15""",2.43E+03,8.11E-03
NGC 4798,9610.123796,12h54m54.7s,"27ø24'56""",7.84E+03,2.62E-02
NGC 4807,9610.124676,12h55m29.3s,"27ø31'14""",6.89E+03,2.30E-02
NGC 4816,9610.125463,12h56m12.1s,"27ø44'43""",6.89E+03,2.30E-02
IC 4568,9609.871204,15h40m04.5s,"28ø09'21""",9.35E+03,3.12E-02
15384+2831E,9609.882037,15h40m28.2s,"28ø21'23""",9.77E+03,3.26E-02
IC 4569,9609.890347,15h40m46.2s,"28ø17'24""",9.80E+03,3.27E-02
IC 4570,9609.893542,15h41m22.3s,"28ø13'46""",9.61E+03,3.21E-02
15393+2809,9609.895671,15h41m22.4s,"27ø59'26""",9.59E+03,3.20E-02
IC 4572,9609.897824,15h41m52.3s,"28ø07'28""",9.92E+03,3.31E-02
IC 4580,9609.899676,15h43m09.9s,"28ø21'33""",9.48E+03,3.16E-02
15417+2835,9609.901574,15h43m45.8s,"28ø25'35""",1.00E+04,3.34E-02
IC 4581,9609.903819,15h43m57.9s,"28ø15'36""",9.93E+03,3.31E-02
IC 4582,9609.906435,15h45m38.9s,"28ø05'17""",2.04E+03,6.82E-03
15443+3025,9609.90713,15h46m19.2s,"30ø15'44""",9.46E+03,3.16E-02
15447+3110,9609.908241,15h46m44.7s,"31ø00'39""",9.26E+03,3.09E-02
NGC 6001,9609.908958,15h47m45.9s,"28ø38'25""",9.93E+03,3.31E-02
15469+2746,9609.910046,15h48m58.3s,"27ø36'54""",2.12E+03,7.07E-03
15485+2847,9609.910718,15h50m32.9s,"28ø38'00""",9.59E+03,3.20E-02
15521+3018,9609.911505,15h54m06.6s,"30ø09'13""",6.01E+03,2.00E-02
NGC 6016,9609.913079,15h56m02.1s,"26ø58'13""",6.42E+03,2.14E-02
56479,9609.914398,15h57m27.7s,"30ø03'23""",9.80E+03,3.27E-02
IC 4408,9610.175093,14h21m11.0s,"29ø59'45""",9.05E+03,3.02E-02
IC 4409,9610.17831,14h21m28.0s,"31ø35'20""",1.03E+04,3.42E-02
IC 4422,9610.181389,14h25m52.4s,"30ø28'31""",9.05E+03,3.02E-02
IC 4425,9610.185139,14h26m43.1s,"27ø11'33""",9.05E+03,3.02E-02
14247+3145,9610.187037,14h26m58.2s,"31ø30'54""",3.78E+03,1.26E-02
IC 1012,9610.190671,14h27m10.3s,"30ø56'52""",4.05E+03,1.35E-02
14263+2729,9610.192824,14h28m30.7s,"27ø15'57""",3.92E+03,1.31E-02
NGC 5635,9610.197824,14h28m31.7s,"27ø24'33""",4.32E+03,1.44E-02
